,Name,Population,state,county,tract,median_income
0,"Census Tract 190.04, Davidson County, Tennessee",4470,47,037,019004,44001
1,"Census Tract 190.07, Davidson County, Tennessee",2904,47,037,019007,48485
2,"Census Tract 190.08, Davidson County, Tennessee",6005,47,037,019008,50512
3,"Census Tract 191.05, Davidson County, Tennessee",5707,47,037,019105,48271
4,"Census Tract 191.06, Davidson County, Tennessee",4336,47,037,019106,65323
5,"Census Tract 191.08, Davidson County, Tennessee",3478,47,037,019108,34893
6,"Census Tract 191.09, Davidson County, Tennessee",5347,47,037,019109,57039
7,"Census Tract 191.10, Davidson County, Tennessee",3604,47,037,019110,55553
8,"Census Tract 191.11, Davidson County, Tennessee",4715,47,037,019111,47700
9,"Census Tract 191.12, Davidson County, Tennessee",5013,47,037,019112,69821
10,"Census Tract 191.15, Davidson County, Tennessee",3661,47,037,019115,121094
11,"Census Tract 191.16, Davidson County, Tennessee",7353,47,037,019116,77293
12,"Census Tract 191.17, Davidson County, Tennessee",5490,47,037,019117,91602
13,"Census Tract 191.18, Davidson County, Tennessee",5628,47,037,019118,56881
14,"Census Tract 191.19, Davidson County, Tennessee",7406,47,037,019119,104307
15,"Census Tract 191.20, Davidson County, Tennessee",4081,47,037,019120,84365
16,"Census Tract 191.21, Davidson County, Tennessee",3667,47,037,019121,110233
17,"Census Tract 192, Davidson County, Tennessee",3853,47,037,019200,64760
18,"Census Tract 193, Davidson County, Tennessee",3498,47,037,019300,18387
19,"Census Tract 194.01, Davidson County, Tennessee",2339,47,037,019401,52571
20,"Census Tract 194.02, Davidson County, Tennessee",4008,47,037,019402,92939
21,"Census Tract 195.01, Davidson County, Tennessee",2141,47,037,019501,70231
22,"Census Tract 195.02, Davidson County, Tennessee",3115,47,037,019502,66982
23,"Census Tract 195.03, Davidson County, Tennessee",3508,47,037,019503,85335
24,"Census Tract 196, Davidson County, Tennessee",3828,47,037,019600,60951
27,"Census Tract 101.03, Davidson County, Tennessee",2411,47,037,010103,60000
28,"Census Tract 101.04, Davidson County, Tennessee",3002,47,037,010104,84831
29,"Census Tract 101.05, Davidson County, Tennessee",4839,47,037,010105,61115
30,"Census Tract 101.06, Davidson County, Tennessee",2948,47,037,010106,66940
31,"Census Tract 102.01, Davidson County, Tennessee",4283,47,037,010201,69185
32,"Census Tract 102.02, Davidson County, Tennessee",3919,47,037,010202,81695
33,"Census Tract 103.01, Davidson County, Tennessee",3914,47,037,010301,52806
34,"Census Tract 103.02, Davidson County, Tennessee",1589,47,037,010302,50341
35,"Census Tract 103.03, Davidson County, Tennessee",5114,47,037,010303,46604
36,"Census Tract 104.01, Davidson County, Tennessee",4734,47,037,010401,47025
37,"Census Tract 104.03, Davidson County, Tennessee",4287,47,037,010403,26856
38,"Census Tract 104.04, Davidson County, Tennessee",2379,47,037,010404,52306
39,"Census Tract 105.01, Davidson County, Tennessee",5696,47,037,010501,62196
40,"Census Tract 105.02, Davidson County, Tennessee",5272,47,037,010502,68679
41,"Census Tract 106.01, Davidson County, Tennessee",5889,47,037,010601,64698
42,"Census Tract 106.02, Davidson County, Tennessee",3688,47,037,010602,49173
43,"Census Tract 107.01, Davidson County, Tennessee",4089,47,037,010701,44963
44,"Census Tract 107.02, Davidson County, Tennessee",3056,47,037,010702,31225
45,"Census Tract 108.01, Davidson County, Tennessee",5482,47,037,010801,54215
46,"Census Tract 108.02, Davidson County, Tennessee",3748,47,037,010802,42138
47,"Census Tract 109.01, Davidson County, Tennessee",3132,47,037,010901,64625
48,"Census Tract 109.03, Davidson County, Tennessee",6301,47,037,010903,43354
49,"Census Tract 109.04, Davidson County, Tennessee",3084,47,037,010904,32800
50,"Census Tract 110.01, Davidson County, Tennessee",6912,47,037,011001,50884
51,"Census Tract 110.02, Davidson County, Tennessee",2440,47,037,011002,57273
52,"Census Tract 111, Davidson County, Tennessee",4054,47,037,011100,79878
53,"Census Tract 112, Davidson County, Tennessee",4250,47,037,011200,52865
